ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_PLMN_NAME_108	26184	Qat-Qtel	18	
STR_PLMN_NAME_109	26185	STC	8	
STR_PLMN_NAME_110	26186	mobily	14	
STR_PLMN_NAME_111	26187	SingTel	16	
STR_PLMN_NAME_112	26188	M1	6	
STR_PLMN_NAME_113	26189	SSTARHUB	18	
STR_PLMN_NAME_114	26190	Mobitel	16	
STR_PLMN_NAME_115	26191	SRI DIALOG	22	
STR_PLMN_NAME_116	26192	SRI - Tigo	22	
STR_PLMN_NAME_117	26193	SIR AIRTEL	22	
STR_PLMN_NAME_118	26194	Hutch	12	
STR_PLMN_NAME_119	26195	SyriaTel	18	
STR_PLMN_NAME_120	26196	Somoncom	18	
STR_PLMN_NAME_121	26197	INDIGO-T	18	
STR_PLMN_NAME_122	26198	MLT	8	
STR_PLMN_NAME_123	26199	Babilon	16	
STR_PLMN_NAME_124	26200	Beeline	16	
STR_PLMN_NAME_125	26201	AIS GSM	16	
STR_PLMN_NAME_126	26202	TRUE	10	
STR_PLMN_NAME_127	26203	TOT	8	
STR_PLMN_NAME_128	26204	DTAC	10	
STR_PLMN_NAME_129	26205	TH GSM 1800	24	
STR_PLMN_NAME_130	26206	Turkcell	18	
STR_PLMN_NAME_131	26207	VODAFONE TR	24	
STR_PLMN_NAME_132	26208	AVEA	10	
STR_PLMN_NAME_133	26209	du	6	
STR_PLMN_NAME_134	26210	Mobifone	18	
STR_PLMN_NAME_135	26211	VINAPHONE	20	
STR_PLMN_NAME_136	26212	Viettel	16	
STR_PLMN_NAME_137	26213	SabaFon	16	
STR_PLMN_NAME_138	26214	MTN	8	
STR_PLMN_NAME_139	26215	AMC - AL	18	
STR_PLMN_NAME_140	26216	vodafone AL	24	
STR_PLMN_NAME_141	26217	EAGLE AL	18	
STR_PLMN_NAME_142	26218	MOBILAND	18	
STR_PLMN_NAME_143	26219	Beeline AM	22	
STR_PLMN_NAME_144	26220	ARM MTS	16	
STR_PLMN_NAME_145	26221	A1	6	
STR_PLMN_NAME_146	26222	T-Mobile A	22	
STR_PLMN_NAME_147	26223	Orange AT	20	
STR_PLMN_NAME_148	26224	telering	18	
STR_PLMN_NAME_149	26225	3 AT	10	
STR_PLMN_NAME_150	26226	AZE ACELL	20	
STR_PLMN_NAME_151	26227	AZE BKCELL	22	
STR_PLMN_NAME_152	26228	Nar	8	
STR_PLMN_NAME_153	26229	Velcom	14	
STR_PLMN_NAME_154	26230	MTS	8	
STR_PLMN_NAME_155	26231	Best	10	
STR_PLMN_NAME_156	26232	Proximus	18	
STR_PLMN_NAME_157	26233	Mobistar	18	
STR_PLMN_NAME_158	26234	BASE	10	
STR_PLMN_NAME_159	26235	Eronet	14	
STR_PLMN_NAME_160	26236	m:tel	12	
STR_PLMN_NAME_161	26237	BH Mobile	20	
STR_PLMN_NAME_162	26238	M-Tel BG	18	
STR_PLMN_NAME_163	26239	vivatel	16	
STR_PLMN_NAME_164	26240	BG GLOBUL	20	
STR_PLMN_NAME_165	26241	T-Mobile	18	
STR_PLMN_NAME_166	26242	TELE2	12	
STR_PLMN_NAME_167	26243	VIPnet	14	
STR_PLMN_NAME_168	26244	CYTAVODA	18	
STR_PLMN_NAME_169	26245	T-Mobile CZ	24	
STR_PLMN_NAME_170	26246	O2 CZ	12	
STR_PLMN_NAME_171	26247	Vodafone CZ	24	
STR_PLMN_NAME_172	26248	TDC MOBIL	20	
STR_PLMN_NAME_173	26249	Sonofon	16	
STR_PLMN_NAME_174	26250	3 DK	10	
STR_PLMN_NAME_175	26251	TELIA DK	18	
STR_PLMN_NAME_176	26252	EE EMT	14	
STR_PLMN_NAME_177	26253	EE elisa	18	
STR_PLMN_NAME_178	26254	Føroya Tele	24	
STR_PLMN_NAME_179	26255	KALL	10	
STR_PLMN_NAME_180	26256	DNA	8	
STR_PLMN_NAME_181	26257	FI Elisa	18	
STR_PLMN_NAME_182	26258	FI AMT	14	
STR_PLMN_NAME_183	26259	FI SONERA	20	
STR_PLMN_NAME_184	26260	Orange F	18	
STR_PLMN_NAME_185	26261	SFR FR	14	
STR_PLMN_NAME_186	26262	Bouygues FR	24	
STR_PLMN_NAME_187	26263	GCELL	12	
STR_PLMN_NAME_188	26264	MAGTI	12	
STR_PLMN_NAME_189	26265	T-Mobile D	22	
STR_PLMN_NAME_190	26266	Vodafone.de	24	
STR_PLMN_NAME_191	26267	E-Plus	14	
